sw,collisions,port_no,rx_bytes,rx_crc_err,rx_dropped,rx_errors,rx_frame_err,rx_over_err,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
00-00-00-00-00-04,0,65534,1040,0,0,0,0,0,20,0,0,0,0
00-00-00-00-00-04,0,1,19356,0,0,0,0,0,154,2710,0,0,24
00-00-00-00-00-04,0,4,19356,0,0,0,0,0,154,2710,0,0,24
00-00-00-00-00-04,0,2,19270,0,0,0,0,0,153,2710,0,0,24
00-00-00-00-00-04,0,3,19356,0,0,0,0,0,154,2710,0,0,24
00-00-00-00-00-01,0,65534,0,0,151,0,0,0,0,0,0,0,0
00-00-00-00-00-01,0,1,1300,0,0,0,0,0,16,21808,0,0,172
00-00-00-00-00-01,0,2,17440,0,0,0,0,0,140,5668,0,0,48
00-00-00-00-00-01,0,3,2710,0,0,0,0,0,24,19356,0,0,154
00-00-00-00-00-06,0,65534,0,0,151,0,0,0,0,0,0,0,0
00-00-00-00-00-06,0,1,17440,0,0,0,0,0,140,5668,0,0,48
00-00-00-00-00-06,0,2,2710,0,0,0,0,0,24,19356,0,0,154
00-00-00-00-00-06,0,3,1300,0,0,0,0,0,16,21808,0,0,172
00-00-00-00-00-02,0,65534,0,0,151,0,0,0,0,0,0,0,0
00-00-00-00-00-02,0,1,1300,0,0,0,0,0,16,21808,0,0,172
00-00-00-00-00-02,0,2,17354,0,0,0,0,0,139,5754,0,0,49
00-00-00-00-00-02,0,3,2710,0,0,0,0,0,24,19270,0,0,153
00-00-00-00-00-05,0,65534,0,0,151,0,0,0,0,0,0,0,0
00-00-00-00-00-05,0,1,17440,0,0,0,0,0,140,5668,0,0,48
00-00-00-00-00-05,0,2,2710,0,0,0,0,0,24,19356,0,0,154
00-00-00-00-00-05,0,3,1300,0,0,0,0,0,16,21808,0,0,172
00-00-00-00-00-03,0,65534,0,0,151,0,0,0,0,0,0,0,0
00-00-00-00-00-03,0,4,5668,0,0,0,0,0,48,17440,0,0,140
00-00-00-00-00-03,0,1,5668,0,0,0,0,0,48,17440,0,0,140
00-00-00-00-00-03,0,2,5668,0,0,0,0,0,48,17440,0,0,140
00-00-00-00-00-03,0,3,5754,0,0,0,0,0,49,17354,0,0,139
00-00-00-00-00-04,0,65534,2080,0,0,0,0,0,40,0,0,0,0
00-00-00-00-00-04,0,1,21052,0,0,0,0,0,174,3147,0,0,31
00-00-00-00-00-04,0,4,21052,0,0,0,0,0,174,3147,0,0,31
00-00-00-00-00-04,0,2,20966,0,0,0,0,0,173,3147,0,0,31
00-00-00-00-00-04,0,3,21052,0,0,0,0,0,174,3147,0,0,31
00-00-00-00-00-01,0,65534,0,0,171,0,0,0,0,0,0,0,0
00-00-00-00-00-01,0,1,1496,0,0,0,0,0,20,23737,0,0,196
00-00-00-00-00-01,0,2,19015,0,0,0,0,0,160,6218,0,0,56
00-00-00-00-00-01,0,3,3147,0,0,0,0,0,31,21052,0,0,174
00-00-00-00-00-06,0,65534,0,0,171,0,0,0,0,0,0,0,0
00-00-00-00-00-06,0,1,19015,0,0,0,0,0,160,6218,0,0,56
00-00-00-00-00-06,0,2,3147,0,0,0,0,0,31,21052,0,0,174
00-00-00-00-00-06,0,3,1496,0,0,0,0,0,20,23737,0,0,196
00-00-00-00-00-03,0,65534,0,0,171,0,0,0,0,0,0,0,0
00-00-00-00-00-03,0,4,6218,0,0,0,0,0,56,19015,0,0,160
00-00-00-00-00-03,0,1,6218,0,0,0,0,0,56,19015,0,0,160
00-00-00-00-00-03,0,2,6218,0,0,0,0,0,56,19015,0,0,160
00-00-00-00-00-03,0,3,6304,0,0,0,0,0,57,18929,0,0,159
00-00-00-00-00-02,0,65534,0,0,171,0,0,0,0,0,0,0,0
00-00-00-00-00-02,0,1,1496,0,0,0,0,0,20,23737,0,0,196
00-00-00-00-00-02,0,2,18929,0,0,0,0,0,159,6304,0,0,57
00-00-00-00-00-02,0,3,3147,0,0,0,0,0,31,20966,0,0,173
00-00-00-00-00-05,0,65534,0,0,171,0,0,0,0,0,0,0,0
00-00-00-00-00-05,0,1,19015,0,0,0,0,0,160,6218,0,0,56
